Gipps following-car model simulation 
Simulation Time : [Acceleration, Speed, Location, Headway]
V6: [1.124500,13.300200,-509.645400,16.139400] 
V7: [1.133000,13.107400,-509.645400,18.519000] 
V8: [1.148100,12.995000,-509.645400,17.567200] 
V9: [0.731000,12.498900,-509.645400,16.612000] 
Simulation Time: 17.330000 
V0: [0.235900,21.595000,-509.645400,0.000000] 
V1: [0.317500,19.331200,-509.645400,61.839400] 
V2: [0.274700,19.656300,-509.645400,19.144500] 
V3: [0.792300,18.503700,-509.645400,59.651000] 
V4: [0.814800,18.995200,-509.645400,32.115600] 
V5: [1.064300,13.882600,-509.645400,57.495700] 
V6: [1.097500,14.031800,-509.645400,16.514000] 
V7: [1.106500,13.845100,-509.645400,19.098700] 
V8: [1.109900,13.734900,-509.645400,18.099300] 
V9: [0.576600,12.883300,-509.645400,17.526400] 
Simulation Time: 18.000000 
V0: [0.198800,21.727500,-509.645400,0.000000] 
V1: [0.272400,19.512800,-509.645400,63.413600] 
V2: [0.232600,19.811400,-509.645400,19.049000] 
V3: [0.731700,18.991500,-509.645400,60.403800] 
V4: [0.705600,19.465600,-509.645400,32.106100] 
V5: [1.035900,14.573200,-509.645400,61.122600] 
V6: [0.941600,14.659600,-509.645400,16.889100] 
V7: [0.954100,14.481200,-509.645400,19.600600] 
V8: [0.983400,14.390500,-509.645400,18.552600] 
V9: [0.450100,13.183400,-509.645400,18.608900] 
Simulation Time: 18.670000 
V0: [0.167300,21.839000,-509.645400,0.000000] 
V1: [0.233400,19.668400,-509.645400,64.943800] 
V2: [0.196200,19.942200,-509.645400,18.954500] 
V3: [0.673900,19.440800,-509.645400,60.924400] 
V4: [0.608200,19.871000,-509.645400,32.092100] 
V5: [1.005100,15.243300,-509.645400,64.547100] 
V6: [0.769500,15.172600,-509.645400,17.323300] 
V7: [0.784600,15.004300,-509.645400,20.025600] 
V8: [0.799800,14.923700,-509.645400,18.926100] 
V9: [0.348600,13.415800,-509.645400,19.836900] 
Simulation Time: 19.330000 
V0: [0.140600,21.932800,-509.645400,0.000000] 
V1: [0.199700,19.801500,-509.645400,66.435200] 
V2: [0.164900,20.052100,-509.645400,18.862000] 
V3: [0.619100,19.853500,-509.645400,61.225000] 
V4: [0.522200,20.219100,-509.645400,32.090500] 
V5: [0.972400,15.891600,-509.645400,67.747600] 
V6: [0.622600,15.587700,-509.645400,17.872700] 
V7: [0.639100,15.430300,-509.645400,20.383600] 
V8: [0.653300,15.359200,-509.645400,19.233500] 
V9: [0.268300,13.594700,-509.645400,21.190600] 
Simulation Time: 20.000000 
V0: [0.118100,22.011500,-509.645400,0.000000] 
V1: [0.170600,19.915200,-509.645400,67.892700] 
V2: [0.138100,20.144100,-509.645400,18.772500] 
V3: [0.567400,20.231800,-509.645400,61.318300] 
V4: [0.446800,20.517000,-509.645400,32.115000] 
V5: [0.938100,16.517000,-509.645400,70.707400] 
V6: [0.499800,15.920900,-509.645400,18.581800] 
V7: [0.516800,15.774900,-509.645400,20.684300] 
V8: [0.529600,15.712300,-509.645400,19.485300] 
V9: [0.205600,13.731700,-509.645400,22.651600] 
Simulation Time: 20.670000 
V0: [0.099100,22.077600,-509.645400,0.000000] 
V1: [0.145600,20.012300,-509.645400,69.320400] 
V2: [0.115300,20.221000,-509.645400,18.686500] 
V3: [0.519000,20.577800,-509.645400,61.217100] 
V4: [0.381200,20.771100,-509.645400,32.176100] 
V5: [0.902700,17.118800,-509.645400,73.415100] 
V6: [0.398700,16.186700,-509.645400,19.484400] 
V7: [0.415600,16.052000,-509.645400,20.936800] 
V8: [0.427100,15.997000,-509.645400,19.690900] 
V9: [0.156900,13.836300,-509.645400,24.203100] 
Simulation Time: 21.330000 
V0: [0.083100,22.133000,-509.645400,0.000000] 
V1: [0.124100,20.095000,-509.645400,70.722100] 
V2: [0.096000,20.285000,-509.645400,18.604700] 
V3: [0.473800,20.893600,-509.645400,60.934400] 
V4: [0.324500,20.987500,-509.645400,32.281600] 
V5: [0.866500,17.696500,-509.645400,75.862900] 
V6: [0.316500,16.397700,-509.645400,20.605000] 
V7: [0.333000,16.274000,-509.645400,21.148900] 
V8: [0.343100,16.225700,-509.645400,19.858300] 
V9: [0.119500,13.916000,-509.645400,25.830600] 
Simulation Time: 22.000000 
V0: [0.069700,22.179500,-509.645400,0.000000] 
V1: [0.105800,20.165500,-509.645400,72.101300] 
V2: [0.079700,20.338100,-509.645400,18.527400] 
V3: [0.431800,21.181500,-509.645400,60.482700] 
V4: [0.275700,21.171300,-509.645400,32.437000] 
V5: [0.829900,18.249800,-509.645400,78.046900] 
V6: [0.250200,16.564500,-509.645400,21.960400] 
V7: [0.266000,16.451300,-509.645400,21.327300] 
V8: [0.274900,16.409000,-509.645400,19.994800] 
V9: [0.090800,13.976500,-509.645400,27.521400] 
Simulation Time: 22.670000 
V0: [0.058400,22.218500,-509.645400,0.000000] 
V1: [0.090000,20.225600,-509.645400,73.460700] 
V2: [0.065900,20.382100,-509.645400,18.454700] 
V3: [0.392900,21.443400,-509.645400,59.874500] 
V4: [0.233800,21.327100,-509.645400,32.645800] 
V5: [0.793200,18.778600,-509.645400,79.966200] 
V6: [0.197200,16.695900,-509.645400,23.560800] 
V7: [0.212200,16.592800,-509.645400,21.477700] 
V8: [0.220000,16.555700,-509.645400,20.106000] 
V9: [0.068800,14.022400,-509.645400,29.264600] 
Simulation Time: 23.330000 
V0: [0.048900,22.251100,-509.645400,0.000000] 
V1: [0.076600,20.276700,-509.645400,74.803100] 
V2: [0.054400,20.418400,-509.645400,18.386800] 
V3: [0.357000,21.681500,-509.645400,59.121700] 
V4: [0.197900,21.459100,-509.645400,32.910100] 
V5: [0.756600,19.283000,-509.645400,81.622300] 
V6: [0.155100,16.799300,-509.645400,25.411100] 
V7: [0.169100,16.705500,-509.645400,21.604800] 
V8: [0.175900,16.672900,-509.645400,20.196800] 
V9: [0.052100,14.057100,-509.645400,31.051300] 
Simulation Time: 24.000000 
V0: [0.041000,22.278400,-509.645400,0.000000] 
V1: [0.065200,20.320100,-509.645400,76.130700] 
V2: [0.044700,20.448200,-509.645400,18.323700] 
V3: [0.324000,21.897500,-509.645400,58.235700] 
V4: [0.167400,21.570700,-509.645400,33.230400] 
V5: [0.720300,19.763200,-509.645400,83.018800] 
V6: [0.121700,16.880400,-509.645400,27.512100] 
V7: [0.134800,16.795400,-509.645400,21.712700] 
V8: [0.140800,16.766800,-509.645400,20.271000] 
V9: [0.039500,14.083400,-509.645400,32.874100] 
Simulation Time: 24.670000 
V0: [0.034300,22.301200,-509.645400,0.000000] 
V1: [0.055400,20.357000,-509.645400,77.445600] 
V2: [0.036600,20.472600,-509.645400,18.265300] 
V3: [0.293800,22.093400,-509.645400,57.227100] 
V4: [0.141400,21.665000,-509.645400,33.606600] 
V5: [0.684600,20.219600,-509.645400,84.161100] 
V6: [0.095300,16.944000,-509.645400,29.861400] 
V7: [0.107500,16.867000,-509.645400,21.804400] 
V8: [0.112700,16.841900,-509.645400,20.331900] 
V9: [0.029900,14.103300,-509.645400,34.726500] 
Simulation Time: 25.330000 
V0: [0.028700,22.320400,-509.645400,0.000000] 
V1: [0.047100,20.388400,-509.645400,78.749300] 
V2: [0.029900,20.492600,-509.645400,18.211400] 
V3: [0.266000,22.270700,-509.645400,56.106200] 
V4: [0.119400,21.744600,-509.645400,34.037400] 
V5: [0.649600,20.652700,-509.645400,85.055700] 
V6: [0.074600,16.993700,-509.645400,32.454000] 
V7: [0.085800,16.924300,-509.645400,21.882800] 
V8: [0.090400,16.902200,-509.645400,20.381900] 
V9: [0.022600,14.118400,-509.645400,36.603500] 
Simulation Time: 26.000000 
V0: [0.024000,22.336400,-509.645400,0.000000] 
V1: [0.040000,20.415100,-509.645400,80.043500] 
V2: [0.024300,20.508800,-509.645400,18.161900] 
V3: [0.240700,22.431200,-509.645400,54.882400] 
V4: [0.100700,21.811700,-509.645400,34.521100] 
V5: [0.615500,21.063000,-509.645400,85.710500] 
V6: [0.058300,17.032600,-509.645400,35.283300] 
V7: [0.068600,16.970000,-509.645400,21.949900] 
V8: [0.072600,16.950600,-509.645400,20.423200] 
V9: [0.017100,14.129800,-509.645400,38.500800] 
Simulation Time: 26.670000 
V0: [0.020100,22.349800,-509.645400,0.000000] 
V1: [0.034000,20.437800,-509.645400,81.329500] 
V2: [0.019700,20.521900,-509.645400,18.116600] 
V3: [0.217600,22.576300,-509.645400,53.564800] 
V4: [0.084900,21.868300,-509.645400,35.055700] 
V5: [0.582300,21.451200,-509.645400,86.133800] 
V6: [0.045600,17.063000,-509.645400,38.341200] 
V7: [0.055000,17.006700,-509.645400,22.007600] 
V8: [0.058500,16.989600,-509.645400,20.457400] 
V9: [0.012900,14.138300,-509.645400,40.415000] 
Simulation Time: 27.330000 
V0: [0.016800,22.361000,-509.645400,0.000000] 
V1: [0.028900,20.457000,-509.645400,82.608400] 
V2: [0.015900,20.532500,-509.645400,18.075300] 
V3: [0.196600,22.707400,-509.645400,52.161400] 
V4: [0.071500,21.916000,-509.645400,35.638600] 
V5: [0.550200,21.818000,-509.645400,86.334800] 
V6: [0.035600,17.086800,-509.645400,41.618700] 
V7: [0.044200,17.036100,-509.645400,22.057400] 
V8: [0.047200,17.021100,-509.645400,20.485900] 
V9: [0.009700,14.144800,-509.645400,42.343200] 
Simulation Time: 28.000000 
V0: [0.014100,22.370400,-509.645400,0.000000] 
V1: [0.024500,20.473400,-509.645400,83.881100] 
V2: [0.012700,20.541000,-509.645400,18.037600] 
V3: [0.177500,22.825700,-509.645400,50.680000] 
V4: [0.060200,21.956100,-509.645400,36.267300] 
V5: [0.519200,22.164200,-509.645400,86.322700] 
V6: [0.027800,17.105300,-509.645400,45.106200] 
V7: [0.035600,17.059800,-509.645400,22.100400] 
V8: [0.038300,17.046600,-509.645400,20.509600] 
V9: [0.007300,14.149700,-509.645400,44.282900] 
Simulation Time: 28.670000 
V0: [0.011800,22.378200,-509.645400,0.000000] 
V1: [0.020800,20.487200,-509.645400,85.148600] 
V2: [0.010200,20.547800,-509.645400,18.003500] 
V3: [0.160100,22.932400,-509.645400,49.127600] 
V4: [0.050700,21.989900,-509.645400,36.906700] 
V5: [0.489400,22.490500,-509.645400,86.107300] 
V6: [0.021700,17.119700,-509.645400,48.793900] 
V7: [0.028700,17.079000,-509.645400,22.137700] 
V8: [0.031100,17.067300,-509.645400,20.529400] 
V9: [0.005500,14.153400,-509.645400,46.232400] 
Simulation Time: 29.330000 
V0: [0.009800,22.384800,-509.645400,0.000000] 
V1: [0.017700,20.499000,-509.645400,86.411500] 
V2: [0.008000,20.553200,-509.645400,17.972500] 
V3: [-0.000800,22.931900,-509.645400,47.543000] 
V4: [0.042700,22.018400,-509.645400,37.464400] 
V5: [0.460900,22.797700,-509.645400,85.698100] 
V6: [0.016900,17.131000,-509.645400,52.671800] 
V7: [0.023300,17.094500,-509.645400,22.170200] 
V8: [0.025400,17.084200,-509.645400,20.546100] 
V9: [0.004200,14.156200,-509.645400,48.190000] 
Simulation Time: 30.000000 
V0: [0.008200,22.390300,-509.645400,0.000000] 
V1: [0.015000,20.509000,-509.645400,87.670500] 
V2: [0.006300,20.557400,-509.645400,17.944500] 
V3: [-0.273500,22.749600,-509.645400,46.021800] 
V4: [0.035900,22.042300,-509.645400,37.887400] 
V5: [0.433500,23.086700,-509.645400,85.104900] 
V6: [0.013200,17.139800,-509.645400,56.729900] 
V7: [0.018900,17.107100,-509.645400,22.198400] 
V8: [0.020800,17.098100,-509.645400,20.560200] 
V9: [0.003200,14.158300,-509.645400,50.154300] 
Simulation Time: 30.670000 
V0: [0.006900,22.394900,-509.645400,0.000000] 
V1: [0.012700,20.517500,-509.645400,88.926200] 
V2: [0.004900,20.560600,-509.645400,17.919200] 
V3: [-0.254600,22.579900,-509.645400,44.619900] 
V4: [0.030200,22.062400,-509.645400,38.186400] 
V5: [0.407400,23.358300,-509.645400,84.337100] 
V6: [0.010300,17.146700,-509.645400,60.958300] 
V7: [0.015500,17.117400,-509.645400,22.223100] 
V8: [0.017100,17.109500,-509.645400,20.572200] 
V9: [0.002400,14.159900,-509.645400,52.124300] 
Simulation Time: 31.330000 
V0: [0.005800,22.398700,-509.645400,0.000000] 
V1: [0.010800,20.524700,-509.645400,90.179000] 
V2: [0.003800,20.563200,-509.645400,17.896500] 
V3: [-0.236700,22.422100,-509.645400,43.328700] 
V4: [0.025400,22.079400,-509.645400,38.371700] 
V5: [0.382600,23.613400,-509.645400,83.404200] 
V6: [0.008000,17.152000,-509.645400,65.347400] 
V7: [0.012700,17.125900,-509.645400,22.244800] 
V8: [0.014100,17.118900,-509.645400,20.582300] 
V9: [0.001800,14.161100,-509.645400,54.099100] 
Simulation Time: 32.000000 
V0: [0.004800,22.401900,-509.645400,0.000000] 
V1: [0.009200,20.530800,-509.645400,91.429300] 
V2: [0.002900,20.565100,-509.645400,17.876000] 
V3: [-0.219800,22.275500,-509.645400,42.140000] 
V4: [0.021400,22.093600,-509.645400,38.452400] 
V5: [0.358900,23.852700,-509.645400,82.315300] 
